time,Year,Season,North California (38-42N),Central California (34.5-38N),Southern California (32-34.5N)
1/31/1993,1993,JFM,3.517018432,5.649889835,2.773280545
4/30/1993,1993,AMJ,8.400240366,5.018218219,3.670343846
7/31/1993,1993,JAS,-1.41480862,1.137279997,0.448493879
10/31/1993,1993,OND,0.946187991,1.959788789,0.422458166
1/31/1994,1994,JFM,0.683628784,0.798508521,0.34084191
4/30/1994,1994,AMJ,-0.661495451,-1.61304322,-0.747863957
7/31/1994,1994,JAS,-2.002576547,-3.563500221,-0.356015232
10/31/1994,1994,OND,-2.765878761,-2.526396117,0.136392945
1/31/1995,1995,JFM,6.516489718,6.997359772,2.003108195
4/30/1995,1995,AMJ,0.739248544,0.857811946,-1.375940187
7/31/1995,1995,JAS,2.381715303,-0.157191186,-0.419068894
10/31/1995,1995,OND,0.910085151,-0.629502684,-0.076371565
1/31/1996,1996,JFM,2.898888903,2.399439605,-0.259966259
4/30/1996,1996,AMJ,-0.545922242,-0.179477411,0.340734668
7/31/1996,1996,JAS,-2.202032871,-2.890657664,-1.1992722
10/31/1996,1996,OND,0.615861429,-0.739489656,-0.400752238
1/31/1997,1997,JFM,-1.770356625,-2.466091228,-0.578934023
4/30/1997,1997,AMJ,4.05984565,2.633248525,4.206459917
7/31/1997,1997,JAS,7.084823978,5.738352431,4.619653581
10/31/1997,1997,OND,7.687380212,10.05781779,5.410889443
1/31/1998,1998,JFM,9.814074196,9.393965296,5.225791218
4/30/1998,1998,AMJ,4.525529606,5.862016993,0.792384816
7/31/1998,1998,JAS,-1.572893997,0.486424107,0.318529287
10/31/1998,1998,OND,-3.103306221,-6.094774053,-2.858192031
1/31/1999,1999,JFM,-2.284604069,-5.172917655,-3.625871804
4/30/1999,1999,AMJ,-7.695978436,-8.058007566,-3.997899616
7/31/1999,1999,JAS,-2.762596808,-4.268118062,-3.756819174
10/31/1999,1999,OND,-4.622257028,-5.183137792,-3.361098922
1/31/2000,2000,JFM,-0.452265001,-1.297146924,-2.576596666
4/30/2000,2000,AMJ,1.159303668,0.698450595,-0.129096284
7/31/2000,2000,JAS,-3.703794044,-3.270588653,-1.41333818
10/31/2000,2000,OND,-3.291184009,-3.785904008,-1.794342343
1/31/2001,2001,JFM,-1.744115275,-1.209845224,-1.552043129
4/30/2001,2001,AMJ,-4.773768228,-2.868381903,-1.571607126
7/31/2001,2001,JAS,-4.039888565,-3.859273031,-2.275063533
10/31/2001,2001,OND,-0.6822173,-1.700606065,-0.984877028
1/31/2002,2002,JFM,-2.935349343,-5.025204778,-2.038809107
4/30/2002,2002,AMJ,-4.811550878,-4.209757328,-2.315649678
7/31/2002,2002,JAS,-2.228849235,-2.574292892,-1.247908317
10/31/2002,2002,OND,4.187291225,2.107466621,1.302108548
1/31/2003,2003,JFM,2.322449104,1.420084021,1.872709421
4/30/2003,2003,AMJ,1.875032921,1.232837608,-1.409618357
7/31/2003,2003,JAS,-0.820523461,-0.14883638,-0.783724647
10/31/2003,2003,OND,2.024513068,0.26506553,0.788986666
1/31/2004,2004,JFM,0.386327926,-0.5801982,0.065004986
4/30/2004,2004,AMJ,1.012788712,-0.91492554,0.869650469
7/31/2004,2004,JAS,1.703944758,0.931564383,0.606458554
10/31/2004,2004,OND,0.002941504,1.732924017,0.730596893
1/31/2005,2005,JFM,3.871321372,6.176881212,2.922765789
4/30/2005,2005,AMJ,5.384080895,2.955140636,1.001449468
7/31/2005,2005,JAS,-1.578355878,-1.196381575,-1.063880265
10/31/2005,2005,OND,0.190942622,-1.710449926,-1.19044956
1/31/2006,2006,JFM,1.38060737,-0.528467008,-2.177770186
4/30/2006,2006,AMJ,3.781020348,5.387754648,1.164774693
7/31/2006,2006,JAS,-1.925050002,0.132527432,1.313303968
10/31/2006,2006,OND,-0.313492194,-0.65963523,0.37698535
1/31/2007,2007,JFM,-5.105264112,-5.705501373,-1.991750325
4/30/2007,2007,AMJ,-3.900983986,-5.010084544,-2.549320708
7/31/2007,2007,JAS,1.394275418,-0.948677341,-0.265168176
10/31/2007,2007,OND,-4.588664409,-6.009538785,-2.615139757
1/31/2008,2008,JFM,-5.344619471,-5.777414568,-3.039309386
4/30/2008,2008,AMJ,-6.391864773,-6.925799708,-1.320878667
7/31/2008,2008,JAS,0.490133123,0.836137869,1.014150832
10/31/2008,2008,OND,-3.251409812,-2.545464013,-1.445353047
1/31/2009,2009,JFM,-2.752291452,-2.845553392,-2.244546678
4/30/2009,2009,AMJ,-1.529366182,-0.396581571,-0.519510721
7/31/2009,2009,JAS,-0.346928961,-1.617660277,0.065507607
10/31/2009,2009,OND,0.569000906,-0.38818319,2.249038243
1/31/2010,2010,JFM,5.621212624,4.416724644,3.06166043
4/30/2010,2010,AMJ,-0.864606118,-2.710232845,-1.772004617
7/31/2010,2010,JAS,-2.963901219,-4.438215763,-4.690159233
10/31/2010,2010,OND,-0.314092233,-2.364146053,-2.383331756
1/31/2011,2011,JFM,-2.145132976,-2.73641455,-2.681185383
4/30/2011,2011,AMJ,-1.986812184,-2.176816161,-1.887554137
7/31/2011,2011,JAS,-0.456515342,-0.618516643,-1.781245643
10/31/2011,2011,OND,-4.566496751,-3.152446501,-2.797540553
1/31/2012,2012,JFM,-3.790510841,-4.983255356,-2.171261008
4/30/2012,2012,AMJ,-1.281780738,-3.894335814,-1.994421463
7/31/2012,2012,JAS,-3.736536491,-4.222528222,-0.540691449
10/31/2012,2012,OND,3.184859167,2.613012051,0.486682809
1/31/2013,2013,JFM,-7.378889194,-7.206665365,-2.966373909
4/30/2013,2013,AMJ,-3.541403229,-2.273611714,-0.464938821
7/31/2013,2013,JAS,0.559599612,-0.423273394,-1.289004507
10/31/2013,2013,OND,-6.820149713,-2.827154409,-0.023280419
1/31/2014,2014,JFM,-0.990727215,1.183807913,1.533943841
4/30/2014,2014,AMJ,0.21558222,2.445745063,2.577600427
7/31/2014,2014,JAS,6.824406725,8.43871107,3.446723664
10/31/2014,2014,OND,9.322023624,9.16692238,3.378157682
1/31/2015,2015,JFM,2.834533868,5.255510316,4.09147221
4/30/2015,2015,AMJ,2.36859386,5.068285465,3.639641788
7/31/2015,2015,JAS,8.427473877,11.00124254,3.590139174
10/31/2015,2015,OND,4.419648132,5.84462264,3.637797307
1/31/2016,2016,JFM,5.632833068,4.204913096,3.453565181
4/30/2016,2016,AMJ,2.910643373,4.016644296,2.169002196
7/31/2016,2016,JAS,-2.008622804,-1.038732256,1.585972731
10/31/2016,2016,OND,4.123969421,1.775204523,0.876300378
1/31/2017,2017,JFM,2.898941692,3.033562612,0.933587519
4/30/2017,2017,AMJ,2.18545835,2.208549421,1.45713108
7/31/2017,2017,JAS,1.950261638,3.452149758,0.999893776
10/31/2017,2017,OND,-1.331489708,1.280274373,0.494750096
1/31/2018,2018,JFM,-1.478384918,0.043583794,0.451096033
4/30/2018,2018,AMJ,-0.029044481,0.340192549,-0.663646604
7/31/2018,2018,JAS,-0.688135849,-0.002992163,2.222545128
10/31/2018,2018,OND,1.286444198,4.548339223,1.98711242
1/31/2019,2019,JFM,3.398465208,5.253020497,1.60903616
4/30/2019,2019,AMJ,3.475665791,7.303847451,1.041612249
7/31/2019,2019,JAS,1.521175404,1.14921026,0.891731139
10/31/2019,2019,OND,1.18787034,3.427011522,2.260092337
1/31/2020,2020,JFM,-3.569526956,-1.572653123,0.77973549
4/30/2020,2020,AMJ,2.122618988,3.3970656,1.159772219
7/31/2020,2020,JAS,0.885972484,0.442909859,0.422038784
10/31/2020,2020,OND,-4.00593681,-2.734548157,-1.174763188
1/31/2021,2021,JFM,-4.119076436,-5.009783486,-2.011060683
4/30/2021,2021,AMJ,-2.919741954,-2.701262594,-0.36029075
7/31/2021,2021,JAS,-1.493869239,0.784738609,-0.74393546
10/31/2021,2021,OND,0.104314521,-0.083967395,-1.651789855
